rank,name,items,owners,link,Unnamed: 5,scan,contract address,Time,text plagiarism,image plagiarism,manual label,Creation Time >= 3,trading volume >= 1500,Official website verification,counterfeit_sure
182,Bored Ape Yacht Club,1,1,https://rarible.com/collection/base/0x7d8e749df1c3c7f2fa7553daa435f61b3b1cf6fd,,Base,0x7d8e749df1c3c7f2fa7553daa435f61b3b1cf6fd,2024/2/17 23:25,1,,,,,,
183,Bored Ape Yacht Club Home Base MINT,,,https://rarible.com/collection/base/0x8f165527e9113c85f2f9cf7f3621074c1dd997bf,,Base,0x8f165527e9113c85f2f9cf7f3621074c1dd997bf,,1,,,,,,
184,Bored Ape Yacht Club,,,https://rarible.com/collection/base/0xb6587ae0bfef6e14c58a98bb108ef0f0efcaa22a,,Base,0xb6587ae0bfef6e14c58a98bb108ef0f0efcaa22a,,1,,,,,,
185,Bored Ape Yacht Club Badge,,,https://rarible.com/collection/base/0xc0d15e5e5a8356b6d70fb4ad22378318166102b2,,Base,0xc0d15e5e5a8356b6d70fb4ad22378318166102b2,,1,,,,,,
186,Bored Ape Yacht Club,,,https://rarible.com/collection/base/0xc0e2c1a88241f475baeec663d8a3a005d2b57ade,,Base,0xc0e2c1a88241f475baeec663d8a3a005d2b57ade,,1,,,,,,
49,bored ape yacht club pissed off,5,1,https://rarible.com/collection/base/0xd6b333eef16b73427b05cbdb82896196ae2e6828,,Base,0xd6b333eef16b73427b05cbdb82896196ae2e6828,2024/4/30 1:57,1,1,,,,,
87,Bored Ape Yacht Club,1,1,https://rarible.com/collection/base/0xd147ba0ef043ba86c51e226abdf2d9488849f6a1,,Base,0xd147ba0ef043ba86c51e226abdf2d9488849f6a1,2023/10/26 2:00,1,1,,,,,
50,Bored Ape Yacht Club,9,3,https://rarible.com/collection/celo/0x1e1a45a865ed39e9ffbf302273e06b351bedd991,,Celo,0x1e1a45a865ed39e9ffbf302273e06b351bedd991,,1,,,,,,
51,Bored Ape Yacht Club,12,1,https://rarible.com/collection/celo/0x2237068776eb2bc53fba59f5a68cef0c85435d4b,,Celo,0x2237068776eb2bc53fba59f5a68cef0c85435d4b,,1,,,,,,
88,Bored Ape Yacht Club Collection,1,1,https://rarible.com/collection/celo/0x53f7c610bbd096ab8bd546730f9ce12711e5a8fb,,Celo,0x53f7c610bbd096ab8bd546730f9ce12711e5a8fb,,1,,,,,,
1,Bored Ape Yacht Club,5.9K,10K,https://rarible.com/boredapeyachtclub,,Ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2021/4/24 16:34,0,0,0,1,1,1,
10,Okay Apes Social Club,849,1,https://rarible.com/OkayApeSocialClub,,Ethereum,0xd8766df79cc1ec79a2349cf0fb565f723820b0c8,,1,,,,,,
11,Bored Ape Seeking Yacht Club Issue #0,5.6K,1.2K,https://rarible.com/bored-ape-seeks-yacht-club-issue-0,,Ethereum,0xe3b5da60ee5f7b4b6b1ed418c3f09ded9ca2f95c,2021/8/15 3:24,1,,,,,,
12,Engagement Farming Bored Apes Yacht Club,197,23,https://rarible.com/collection/0xe3eb5481d2cd850fafa040a3576875456ba512af,,Ethereum,0xe3eb5481d2cd850fafa040a3576875456ba512af,2022/9/15 13:07,1,,,,,,
13,Peculiar Pugs,300,116,https://rarible.com/peculiarpugs,,Ethereum,0xe707a98108c31c77ddee267fde07efc8a8bf86cc,2022/9/16 3:13,,,,,,,
14,Unique_NFT,205,1,https://rarible.com/unique_monkey,,Ethereum,0xfa9dbf05bc7a536ebaa16d3d31d0ec5b6430d3f8,,,,,,,,
