rank,name,items,owners,link,Unnamed: 5,scan,contract address,Time,text plagiarism,image plagiarism,manual label,Creation Time >= 3,trading volume >= 1500,Official website verification
121,Pudgypenguins.fun,25,1,https://rarible.com/collection/0xd31d1f14054635a6503e226c7d99721da08b27fd,,Ethereum,0xd31d1f14054635a6503e226c7d99721da08b27fd,2024-01-03 08:26:35,1.0,,,,,
122,Pudgy Penguins,23,11,https://rarible.com/collection/base/0xc03eff2d830c9dec0a4504d381f84a59b53d13c4,,Base,0xc03eff2d830c9dec0a4504d381f84a59b53d13c4,2024-02-10 08:17:01,1.0,1.0,,,,
125,Pudgy Penguins,16,7,https://rarible.com/collection/polygon/0xf2ead3dfdb679a64652a5a03da805f91a8348eb4,,Polygon,0xf2ead3dfdb679a64652a5a03da805f91a8348eb4,2022-09-26 19:57:54,1.0,1.0,,,,
126,Forever Pudgy Penguin Traits,81,19.2K,https://rarible.com/collection/zksync/0xfcfdd186534bf7d4aef35d5b3bde9e59e0c388c0,,zkSync,0xfcfdd186534bf7d4aef35d5b3bde9e59e0c388c0,2023-09-20 09:56:20,1.0,,,,,
127,Glitchy Pudgy Penguins,16,10,https://rarible.com/collection/0x2f6ac56ff39a7e30545d8359b0a239376a063d66,,Ethereum,0x2f6ac56ff39a7e30545d8359b0a239376a063d66,2021-08-26 19:39:06,1.0,,,,,
128,PudgyBabyPenguins,10,1,https://rarible.com/collection/0xaf04becf24749b7b6800cb01d55275fcd6e21abc,,Ethereum,0xaf04becf24749b7b6800cb01d55275fcd6e21abc,2023-04-10 15:14:47,1.0,,,,,
129,PudgySoldierPenguins,13,11,https://rarible.com/collection/0xb637cf79db706d77d66b0e45c47279a22074928a,,Ethereum,0xb637cf79db706d77d66b0e45c47279a22074928a,2023-04-05 18:30:35,1.0,,,,,
130,Pharaohs,10,1,https://rarible.com/pharaohs-3,,Ethereum,0xc4c260a7d194d9a38a65311a57aa5766cfaa7e11,2023-08-13 03:38:35,,,,,,
131,@PudgyPenguins Creator Token on Drakula.app,4,4,https://rarible.com/collection/base/0x7a2f20c4826fe3339d26ac49dd14d59d9c3aeda5,,Base,0x7a2f20c4826fe3339d26ac49dd14d59d9c3aeda5,2024-03-28 06:29:19,1.0,,,,,
132,Pudgy Penguins,4,2,https://rarible.com/collection/base/0x9f0ca8b967f809e7c20a0a855eafedb76db334f0,,Base,0x9f0ca8b967f809e7c20a0a855eafedb76db334f0,2023-10-26 06:34:57,1.0,,,,,
133,Pudgy Penguins,5,1,https://rarible.com/collection/base/0xc50c4689f7e57cf1bd8ad859e609a2482e0a2d94,,Base,0xc50c4689f7e57cf1bd8ad859e609a2482e0a2d94,2024-02-10 08:17:51,1.0,,,,,
134,PudgyPenguins,6,2,https://rarible.com/collection/base/0xedc536e742b610e47bb388369f464ca654ecd647,,Base,0xedc536e742b610e47bb388369f464ca654ecd647,2024-06-09 07:06:13,1.0,,,,,
135,Pudgy Penguine,10,1,https://rarible.com/collection/polygon/0x03c1d2549c9312aff3ab1ad8a72ea5b4e78cdddf,,Polygon,0x03c1d2549c9312aff3ab1ad8a72ea5b4e78cdddf,2024-05-31 18:34:32,1.0,1.0,,,,
136,Pudgy Penguins,4,2,https://rarible.com/collection/polygon/0x07cfc0a3d9f9ded70b424fe005be9ba5b3d75d6d,,Polygon,0x07cfc0a3d9f9ded70b424fe005be9ba5b3d75d6d,2023-01-16 23:00:38,1.0,1.0,,,,
137,W3A PRO | Pudgy Penguins: From 0 to Hero,10,10,https://rarible.com/collection/polygon/0x1b561b29cd2f9383cb493d9cc5edd75f4e5fc0e5,,Polygon,0x1b561b29cd2f9383cb493d9cc5edd75f4e5fc0e5,2023-08-03 21:28:50,1.0,1.0,,,,
