decision_mode,model_name,malicious_n,good_n,malicious_prevent_buy_rate,good_false_reject_rate,mean_total_tokens,mean_prompt_tokens,mean_completion_tokens,mean_latency_ms,parse_success_rate
llm_base,claude-sonnet-4-6,100,100,0.47,0.15,1044.225,949.045,95.18,9948.655,1.0
rule_agent,rule_agent,100,100,0.3,0.01,0.0,0.0,0.0,0.0,1.0
llm_base_rank,claude-sonnet-4-6,100,100,0.29,0.0,976.91,883.31,93.6,9528.255,1.0
llm_base_rank_compact,claude-sonnet-4-6,100,100,0.22,0.02,1036.875,943.075,93.8,12194.82,1.0
llm_base_rank_mini,claude-sonnet-4-6,100,100,0.22,0.06,1000.575,905.255,95.32,11767.28,1.0
