decision_mode,model_name,malicious_n,top_trust_n,malicious_prevent_buy_rate,top_trust_false_reject_rate,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,mean_latency_ms,parse_success_rate
llm_base,grok-4-1-fast,100,100,1.0,0.0,861.425,584.11,1445.535,4560.355,1.0
llm_base_rank,grok-4-1-fast,100,100,1.0,0.0,1001.425,662.0,1663.425,5614.42,1.0
llm_base_rank_mini,grok-4-1-fast,100,100,0.45,0.04,905.0,648.31,1553.31,5595.215,1.0
llm_rank,grok-4-1-fast,100,100,0.64,0.23,774.0,594.37,1368.37,4853.475,1.0
