decision_mode,model_name,malicious_n,top_trust_n,malicious_prevent_buy_rate,top_trust_false_reject_rate,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,mean_latency_ms,parse_success_rate
llm_base,gemini-2.5-flash-nothinking,100,100,0.52,0.0,802.38,74.48,876.86,1645.345,1.0
llm_base_rank,gemini-2.5-flash-nothinking,100,100,0.98,0.01,955.39,72.13,1027.52,1579.28,1.0
llm_base_rank_mini,gemini-2.5-flash-nothinking,100,100,0.65,0.02,819.955,71.57,891.525,1630.35,1.0
llm_rank,gemini-2.5-flash-nothinking,100,100,0.71,1.0,678.01,74.865,752.875,1506.96,1.0
