decision_mode,model_name,malicious_n,good_n,malicious_prevent_buy_rate,good_false_reject_rate,mean_total_tokens,mean_prompt_tokens,mean_completion_tokens,mean_latency_ms,parse_success_rate
llm_base,gemini-3-flash-preview,100,100,0.3,0.01,1282.865,894.935,387.93,5081.445,0.0
rule_agent,rule_agent,100,100,0.3,0.01,0.0,0.0,0.0,0.0,1.0
llm_base_rank,gemini-3-flash-preview,100,100,0.3,0.01,1198.045,820.165,377.88,4961.775,0.265
llm_base_rank_compact,gemini-3-flash-preview,100,100,0.3,0.02,1260.44,882.335,378.105,4964.15,0.18
llm_base_rank_mini,gemini-3-flash-preview,100,100,0.3,0.01,1209.415,842.99,366.425,5110.81,0.425
